date,time,region,gmv,cnt_call,is_exp,const
2020/3/5,10,3,0,-1.116778153,0,1
2020/3/5,11,3,0,-1.116778153,0,1
2020/3/5,12,3,0,-1.116778153,0,1
2020/3/5,13,3,0,-0.845237081,1,1
2020/3/5,14,3,0,-0.57369601,0,1
2020/3/5,15,3,0.597250207,-0.030613866,1,1
2020/3/5,16,3,1.680642064,0.512468277,0,1
2020/3/5,17,3,1.122363267,1.055550421,1,1
2020/3/5,18,3,2.956288428,1.870173636,0,1
2020/3/5,19,3,2.236051391,1.055550421,1,1
2020/3/5,20,3,2.325939215,1.870173636,0,1
2020/3/5,21,3,1.59722723,1.598632564,1,1
2020/3/5,22,3,3.058054525,2.684796851,0,1
2020/3/5,23,3,0.718969132,-0.57369601,1,1
2020/3/5,24,3,0.723640363,0.240927206,0,1
2020/3/5,25,3,0.866246362,0.240927206,1,1
2020/3/5,26,3,1.539971289,2.413255779,0,1
2020/3/5,27,3,0.182444924,0.240927206,1,1
2020/3/5,28,3,4.045285761,3.499420066,0,1
2020/3/5,29,3,1.774600532,1.055550421,1,1
2020/3/5,30,3,0.873720331,0.512468277,0,1
2020/3/5,31,3,2.206422442,0.784009349,1,1
2020/3/5,32,3,1.5561204,1.327091492,0,1
2020/3/5,33,3,0.583503443,-0.030613866,1,1
2020/3/5,34,3,0.396387288,3.227878994,0,1
2020/3/5,35,3,1.458625143,1.598632564,1,1
2020/3/5,36,3,1.658954207,1.055550421,0,1
2020/3/5,37,3,0.461050467,-0.57369601,1,1
2020/3/5,38,3,1.592756195,0.240927206,0,1
2020/3/5,39,3,2.149833819,2.413255779,1,1
2020/3/5,40,3,0.50262442,0.240927206,0,1
2020/3/5,41,3,0.399056563,0.512468277,1,1
2020/3/5,42,3,0.487409555,-0.302154938,0,1
2020/3/5,43,3,0.539460411,-0.57369601,1,1
2020/3/5,44,3,0.127658061,-0.57369601,0,1
2020/3/5,45,3,0,-0.302154938,1,1
2020/3/5,46,3,0,-0.845237081,0,1
2020/3/5,47,3,0,-0.302154938,1,1
2020/3/6,0,3,0,-0.57369601,1,1
2020/3/6,1,3,0,-1.116778153,0,1
2020/3/6,2,3,0,-1.116778153,0,1
2020/3/6,3,3,0,-1.116778153,0,1
2020/3/6,4,3,0,-1.116778153,0,1
2020/3/6,5,3,0,-1.116778153,0,1
2020/3/6,6,3,0,-0.845237081,1,1
2020/3/6,7,3,0,-1.116778153,0,1
2020/3/6,8,3,0,-1.116778153,0,1
2020/3/6,9,3,0,-0.845237081,0,1
2020/3/6,10,3,0,-1.116778153,0,1
2020/3/6,11,3,0,-1.116778153,0,1
2020/3/6,12,3,0.19305529,-0.845237081,1,1
2020/3/6,13,3,0,-1.116778153,0,1
2020/3/6,14,3,0,-0.845237081,1,1
2020/3/6,15,3,0.302028429,-0.030613866,0,1
2020/3/6,16,3,0.422813108,-0.302154938,1,1
2020/3/6,17,3,0.959670976,1.598632564,0,1
2020/3/6,18,3,0.101832829,0.240927206,1,1
2020/3/6,19,3,1.617647182,0.240927206,0,1
2020/3/6,20,3,2.007828406,2.141714708,1,1
2020/3/6,21,3,3.787767488,2.684796851,0,1
2020/3/6,22,3,2.64892145,1.870173636,1,1
2020/3/6,23,3,2.108660257,1.598632564,0,1
2020/3/6,24,3,1.575939765,1.870173636,1,1
2020/3/6,25,3,1.313483333,0.240927206,0,1
2020/3/6,26,3,2.740544303,0.240927206,1,1
2020/3/6,27,3,1.526624915,3.227878994,0,1
2020/3/6,28,3,3.262988088,2.684796851,1,1
2020/3/6,29,3,3.120382089,1.055550421,0,1
2020/3/6,30,3,2.445722916,0.784009349,1,1
2020/3/6,31,3,1.692520336,1.055550421,0,1
2020/3/6,32,3,2.208557861,0.240927206,1,1
2020/3/6,33,3,5.965695422,2.956337923,0,1
2020/3/6,34,3,0.469925806,-0.302154938,1,1
2020/3/6,35,3,1.819778006,2.141714708,0,1
2020/3/6,36,3,3.080209505,2.684796851,1,1
2020/3/6,37,3,1.554652299,1.055550421,0,1
2020/3/6,38,3,1.052561734,0.512468277,1,1
2020/3/6,39,3,1.89391711,1.870173636,0,1
2020/3/6,40,3,0.53191971,-0.302154938,1,1
2020/3/6,41,3,1.980735268,0.784009349,0,1
2020/3/6,42,3,0.12332049,-0.030613866,1,1
2020/3/6,43,3,0.281675209,0.784009349,0,1
2020/3/6,44,3,0,-0.57369601,1,1
2020/3/6,45,3,1.219257937,1.055550421,0,1
2020/3/6,46,3,0,-0.845237081,1,1
2020/3/6,47,3,0,-0.57369601,0,1
2020/3/7,0,3,0,-0.302154938,0,1
2020/3/7,1,3,0,-0.030613866,1,1
2020/3/7,2,3,0,-1.116778153,0,1
2020/3/7,3,3,0,-1.116778153,0,1
2020/3/7,4,3,0,-1.116778153,0,1
2020/3/7,5,3,0,-1.116778153,0,1
2020/3/7,6,3,0,-1.116778153,0,1
2020/3/7,7,3,0,-1.116778153,0,1
2020/3/7,8,3,0,-1.116778153,0,1
2020/3/7,9,3,0,-0.845237081,1,1
2020/3/7,10,3,0,-0.845237081,0,1
2020/3/7,11,3,0,-1.116778153,0,1
2020/3/7,12,3,0,-1.116778153,0,1
2020/3/7,13,3,0,-1.116778153,0,1
2020/3/7,14,3,0,-0.57369601,0,1
2020/3/7,15,3,0,-0.845237081,1,1
2020/3/7,16,3,0.780295718,0.784009349,0,1
2020/3/7,17,3,1.440540807,0.240927206,1,1
2020/3/7,18,3,3.032763148,0.784009349,0,1
2020/3/7,19,3,0.152882707,1.055550421,1,1
2020/3/7,20,3,1.810368813,1.598632564,0,1
2020/3/7,21,3,2.355367968,1.870173636,1,1
2020/3/7,22,3,1.401102274,1.870173636,0,1
2020/3/7,23,3,1.836527704,0.512468277,1,1
2020/3/7,24,3,1.625721737,1.598632564,0,1
2020/3/7,25,3,5.052736754,3.770961138,1,1
2020/3/7,26,3,0.494016009,0.784009349,0,1
2020/3/7,27,3,2.547822672,2.141714708,1,1
2020/3/7,28,3,2.86413172,2.141714708,0,1
2020/3/7,29,3,0.730380281,0.512468277,1,1
2020/3/7,30,3,0.968145923,1.055550421,0,1
2020/3/7,31,3,3.929305777,1.055550421,1,1
2020/3/7,32,3,1.034610862,2.141714708,0,1
2020/3/7,33,3,2.515324253,2.141714708,1,1
2020/3/7,34,3,2.244526338,0.784009349,0,1
2020/3/7,35,3,2.558299575,1.870173636,1,1
2020/3/7,36,3,2.493569664,3.227878994,0,1
2020/3/7,37,3,0.251512406,-0.030613866,1,1
2020/3/7,38,3,1.679974745,1.327091492,0,1
2020/3/7,39,3,0.858972589,1.598632564,1,1
2020/3/7,40,3,0.529250435,0.512468277,0,1
2020/3/7,41,3,0.095293106,0.240927206,1,1
2020/3/7,42,3,0,-0.302154938,0,1
2020/3/7,43,3,0.068133236,-0.030613866,1,1
2020/3/7,44,3,0,-0.302154938,0,1
2020/3/7,45,3,0,-1.116778153,0,1
2020/3/7,46,3,0,-1.116778153,0,1
2020/3/7,47,3,0,-1.116778153,0,1
2020/3/8,0,3,0,-0.845237081,1,1
2020/3/8,1,3,0,-1.116778153,0,1
2020/3/8,2,3,0,-0.57369601,1,1
2020/3/8,3,3,0,-0.57369601,0,1
2020/3/8,4,3,0,-0.845237081,1,1
2020/3/8,5,3,0,-0.845237081,0,1
2020/3/8,6,3,0,-1.116778153,0,1
2020/3/8,7,3,0,-1.116778153,0,1
2020/3/8,8,3,0,-1.116778153,0,1
2020/3/8,9,3,0,-1.116778153,0,1
2020/3/8,10,3,0,-1.116778153,0,1
2020/3/8,11,3,0,-1.116778153,0,1
2020/3/8,12,3,0,-1.116778153,0,1
2020/3/8,13,3,0,-1.116778153,0,1
2020/3/8,14,3,0,-0.030613866,1,1
2020/3/8,15,3,0,-0.845237081,0,1
2020/3/8,16,3,0.790105302,0.512468277,1,1
2020/3/8,17,3,0.415072211,1.055550421,0,1
2020/3/8,18,3,1.19897145,1.870173636,1,1
2020/3/8,19,3,1.984605717,1.598632564,0,1
2020/3/8,20,3,1.822714208,1.327091492,1,1
2020/3/8,21,3,1.85067486,1.327091492,0,1
2020/3/8,22,3,2.036122718,0.512468277,1,1
2020/3/8,23,3,1.357459633,1.327091492,0,1
2020/3/8,24,3,4.407773262,2.684796851,1,1
2020/3/8,25,3,1.404705795,2.141714708,0,1
2020/3/8,26,3,8.307983945,4.857125425,1,1
2020/3/8,27,3,3.382504861,5.67174864,0,1
2020/3/8,28,3,4.372605568,5.128666497,1,1
2020/3/8,29,3,2.345558384,1.598632564,0,1
2020/3/8,30,3,1.01632633,1.327091492,1,1
2020/3/8,31,3,3.874051791,2.141714708,0,1
2020/3/8,32,3,1.107148401,1.870173636,1,1
2020/3/8,33,3,1.540171484,2.956337923,0,1
2020/3/8,34,3,1.574805323,2.413255779,1,1
2020/3/8,35,3,1.510675999,2.141714708,0,1
2020/3/8,36,3,3.918161555,2.684796851,1,1
2020/3/8,37,3,0.764880657,0.512468277,0,1
2020/3/8,38,3,1.151324897,1.870173636,1,1
2020/3/8,39,3,0.649234331,1.327091492,0,1
2020/3/8,40,3,0.846627193,0.784009349,1,1
2020/3/8,41,3,1.501200074,-0.030613866,0,1
2020/3/8,42,3,0.635354103,0.240927206,1,1
2020/3/8,43,3,1.157731156,-0.302154938,0,1
2020/3/8,44,3,0.7492654,0.512468277,1,1
2020/3/8,45,3,0,-0.845237081,0,1
2020/3/8,46,3,0,1.055550421,1,1
2020/3/8,47,3,0,0.512468277,0,1
2020/3/9,0,3,0,-0.845237081,0,1
2020/3/9,1,3,0,-0.845237081,1,1
2020/3/9,2,3,0,-1.116778153,0,1
2020/3/9,3,3,0,-0.845237081,1,1
2020/3/9,4,3,0,-1.116778153,0,1
2020/3/9,5,3,0,-1.116778153,0,1
2020/3/9,6,3,0,-0.57369601,0,1
2020/3/9,7,3,0,-0.845237081,1,1
2020/3/9,8,3,0,-1.116778153,0,1
2020/3/9,9,3,0,-1.116778153,0,1
2020/3/9,10,3,0,-1.116778153,0,1
2020/3/9,11,3,0,-1.116778153,0,1
2020/3/9,12,3,0.113444173,-0.57369601,0,1
2020/3/9,13,3,0,-1.116778153,0,1
2020/3/9,14,3,0.863443624,-0.030613866,0,1
2020/3/9,15,3,3.297488463,1.598632564,1,1
2020/3/9,16,3,2.216232026,0.240927206,0,1
2020/3/9,17,3,0.800582205,2.684796851,1,1
2020/3/9,18,3,3.849627928,4.04250221,0,1
2020/3/9,19,3,3.39998861,1.870173636,1,1
2020/3/9,20,3,3.566351154,3.227878994,0,1
2020/3/9,21,3,1.891381299,0.512468277,1,1
2020/3/9,22,3,0.406864191,0.240927206,0,1
2020/3/9,23,3,2.041661463,0.512468277,1,1
2020/3/9,24,3,1.649144623,1.870173636,0,1
2020/3/9,25,3,2.87127203,4.04250221,1,1
2020/3/9,26,3,3.099895405,1.598632564,0,1
2020/3/9,27,3,1.938627461,1.327091492,1,1
2020/3/9,28,3,1.623786513,1.598632564,0,1
2020/3/9,29,3,1.791216767,1.327091492,1,1
2020/3/9,30,3,2.410221563,0.512468277,0,1
2020/3/9,31,3,3.110839432,1.598632564,1,1
2020/3/9,32,3,2.39974466,1.327091492,0,1
2020/3/9,33,3,2.813949356,1.598632564,1,1
2020/3/9,34,3,1.156263055,1.598632564,0,1
2020/3/9,35,3,1.543040955,1.055550421,1,1
2020/3/9,36,3,3.439026752,3.499420066,0,1
2020/3/9,37,3,2.623763536,1.327091492,1,1
2020/3/9,38,3,1.329632445,2.413255779,0,1
2020/3/9,39,3,0.85436809,1.327091492,1,1
2020/3/9,40,3,0.325117655,-0.030613866,0,1
2020/3/9,41,3,0.529517363,-0.030613866,1,1
2020/3/9,42,3,0.239967793,-0.302154938,0,1
2020/3/9,43,3,0.17944199,-0.030613866,1,1
2020/3/9,44,3,0.195991493,-0.57369601,0,1
2020/3/9,45,3,0,-1.116778153,0,1
2020/3/9,46,3,0,-0.845237081,0,1
2020/3/9,47,3,0,-1.116778153,0,1
2020/3/10,0,3,0,-1.116778153,0,1
2020/3/10,1,3,0,-1.116778153,0,1
2020/3/10,2,3,0,-1.116778153,0,1
2020/3/10,3,3,0,-1.116778153,0,1
2020/3/10,4,3,0,-1.116778153,0,1
2020/3/10,5,3,0,-0.845237081,0,1
2020/3/10,6,3,0,-1.116778153,0,1
2020/3/10,7,3,0,-1.116778153,0,1
2020/3/10,8,3,0,-1.116778153,0,1
2020/3/10,9,3,0,-1.116778153,0,1
2020/3/10,10,3,0,-1.116778153,0,1
2020/3/10,11,3,0,-1.116778153,0,1
2020/3/10,12,3,0,-1.116778153,0,1
2020/3/10,13,3,1.019796387,-0.845237081,0,1
2020/3/10,14,3,0,-1.116778153,0,1
2020/3/10,15,3,0.404928967,-0.57369601,0,1
2020/3/10,16,3,0.559613434,1.055550421,1,1
2020/3/10,17,3,1.998686141,2.684796851,0,1
2020/3/10,18,3,2.264545898,2.413255779,1,1
2020/3/10,19,3,0.981158637,1.870173636,0,1
2020/3/10,20,3,4.023597905,3.227878994,1,1
2020/3/10,21,3,3.808854758,2.141714708,0,1
2020/3/10,22,3,1.585348958,0.512468277,1,1
2020/3/10,23,3,2.987652406,1.055550421,0,1
2020/3/10,24,3,1.642871827,0.240927206,1,1
2020/3/10,25,3,1.950705928,0.240927206,0,1
2020/3/10,26,3,3.431419319,1.870173636,1,1
2020/3/10,27,3,2.215231048,3.499420066,0,1
2020/3/10,28,3,1.978266189,1.598632564,1,1
2020/3/10,29,3,1.8185101,4.585584353,0,1
2020/3/10,30,3,1.053028857,1.327091492,1,1
2020/3/10,31,3,3.822067667,3.227878994,0,1
2020/3/10,32,3,1.741501526,2.413255779,1,1
2020/3/10,33,3,2.819755029,2.141714708,0,1
2020/3/10,34,3,2.616089372,2.141714708,1,1
2020/3/10,35,3,1.35378938,2.684796851,0,1
2020/3/10,36,3,0.306165805,1.327091492,1,1
2020/3/10,37,3,2.020974584,3.499420066,0,1
2020/3/10,38,3,0.465521502,-0.030613866,1,1
2020/3/10,39,3,0.457980801,0.784009349,0,1
2020/3/10,40,3,2.377522948,1.055550421,1,1
2020/3/10,41,3,1.019863119,0.784009349,0,1
2020/3/10,42,3,0.357816269,1.055550421,1,1
2020/3/10,43,3,0,1.327091492,0,1
2020/3/10,44,3,0,0.784009349,1,1
2020/3/10,45,3,0,1.598632564,0,1
2020/3/10,46,3,0,-1.116778153,0,1
2020/3/10,47,3,0,-0.030613866,0,1
2020/3/11,0,3,0,1.598632564,0,1
2020/3/11,1,3,0,-0.845237081,1,1
2020/3/11,2,3,0,-0.030613866,0,1
2020/3/11,3,3,0,-1.116778153,0,1
2020/3/11,4,3,0,-1.116778153,0,1
2020/3/11,5,3,0,-0.302154938,1,1
2020/3/11,6,3,0,-0.845237081,0,1
2020/3/11,7,3,0,-1.116778153,0,1
2020/3/11,8,3,0,-1.116778153,0,1
2020/3/11,9,3,0,-0.845237081,1,1
2020/3/11,10,3,0,-1.116778153,0,1
2020/3/11,11,3,0,-0.57369601,1,1
2020/3/11,12,3,0,-1.116778153,0,1
2020/3/11,13,3,0,-1.116778153,0,1
2020/3/11,14,3,0,-0.845237081,0,1
2020/3/11,15,3,0.745595147,-0.302154938,1,1
2020/3/11,16,3,1.083792248,1.870173636,0,1
2020/3/11,17,3,1.096604766,1.598632564,1,1
2020/3/11,18,3,1.869359783,1.327091492,0,1
2020/3/11,19,3,3.198458373,2.956337923,1,1
2020/3/11,20,3,0.44650292,0.784009349,0,1
2020/3/11,21,3,6.328916973,3.499420066,1,1
2020/3/11,22,3,0.877924439,0.512468277,0,1
2020/3/11,23,3,1.610106481,2.956337923,1,1
2020/3/11,24,3,3.055852373,1.598632564,0,1
2020/3/11,25,3,4.121560285,2.956337923,1,1
2020/3/11,26,3,5.248728246,1.598632564,0,1
2020/3/11,27,3,3.179906914,2.956337923,1,1
2020/3/11,28,3,4.658284689,1.870173636,0,1
2020/3/11,29,3,3.203596726,2.141714708,1,1
2020/3/11,30,3,3.059122235,2.684796851,0,1
2020/3/11,31,3,2.848649927,2.684796851,1,1
2020/3/11,32,3,0.89440721,0.512468277,0,1
2020/3/11,33,3,4.147518981,1.870173636,1,1
2020/3/11,34,3,0.810725449,2.141714708,0,1
2020/3/11,35,3,3.292083182,4.04250221,1,1
2020/3/11,36,3,6.53365034,4.314043281,0,1
2020/3/11,37,3,2.976908575,2.956337923,1,1
2020/3/11,38,3,1.045421424,1.327091492,0,1
2020/3/11,39,3,0.899812491,1.327091492,1,1
2020/3/11,40,3,0.678729817,0.512468277,0,1
2020/3/11,41,3,0.565018716,0.512468277,1,1
2020/3/11,42,3,0.931376664,1.055550421,0,1
2020/3/11,43,3,0.344536628,0.240927206,1,1
2020/3/11,44,3,1.201640724,1.598632564,0,1
2020/3/11,45,3,0.857838147,1.598632564,1,1
2020/3/11,46,3,0.304831167,-0.030613866,0,1
2020/3/11,47,3,0,-0.302154938,1,1
2020/3/12,0,3,0,-1.116778153,0,1
2020/3/12,1,3,0,-1.116778153,0,1
2020/3/12,2,3,0,-1.116778153,0,1
2020/3/12,3,3,0,-0.57369601,0,1
2020/3/12,4,3,0,-0.845237081,1,1
2020/3/12,5,3,0.364089065,-0.57369601,0,1
2020/3/12,6,3,0,-1.116778153,0,1
2020/3/12,7,3,0,-0.845237081,0,1
2020/3/12,8,3,0,-1.116778153,0,1
2020/3/12,9,3,0,-1.116778153,0,1
2020/3/12,10,3,0,-1.116778153,0,1
2020/3/12,11,3,0,-1.116778153,0,1
2020/3/12,12,3,0,-0.302154938,1,1
2020/3/12,13,3,0,-0.57369601,0,1
2020/3/12,14,3,0.167430254,-0.57369601,1,1
2020/3/12,15,3,4.091063822,1.870173636,0,1
2020/3/12,16,3,1.495794793,1.870173636,1,1
2020/3/12,17,3,5.674877947,2.956337923,0,1
2020/3/12,18,3,0.990634562,1.327091492,1,1
2020/3/12,19,3,1.941763858,1.598632564,0,1
2020/3/12,20,3,2.431976151,2.956337923,1,1
2020/3/12,21,3,2.571846144,1.598632564,0,1
2020/3/12,22,3,3.303360867,1.598632564,1,1
2020/3/12,23,3,4.95143778,4.314043281,0,1
2020/3/12,24,3,1.883773866,1.327091492,1,1
2020/3/12,25,3,0.973217544,1.055550421,0,1
2020/3/12,26,3,3.110572504,1.327091492,1,1
2020/3/12,27,3,1.121095361,1.055550421,0,1
2020/3/12,28,3,2.402747594,1.055550421,1,1
2020/3/12,29,3,2.418629778,1.870173636,0,1
2020/3/12,30,3,1.020330242,1.870173636,1,1
2020/3/12,31,3,3.753066917,1.870173636,0,1
2020/3/12,32,3,1.992146418,1.327091492,1,1
2020/3/12,33,3,1.207246201,1.055550421,0,1
2020/3/12,34,3,5.021372776,1.055550421,1,1
2020/3/12,35,3,1.816775072,2.141714708,0,1
2020/3/12,36,3,2.302783257,2.684796851,1,1
2020/3/12,37,3,1.583680661,0.512468277,0,1
2020/3/12,38,3,1.073582272,0.240927206,1,1
2020/3/12,39,3,0.942387422,2.684796851,0,1
2020/3/12,40,3,1.081523364,0.512468277,1,1
2020/3/12,41,3,0.539393679,0.784009349,0,1
2020/3/12,42,3,0.135799349,0.512468277,1,1
2020/3/12,43,3,0.566420085,0.512468277,0,1
2020/3/12,44,3,0,-1.116778153,0,1
2020/3/12,45,3,0.289282642,0.240927206,0,1
2020/3/12,46,3,0,-0.302154938,1,1
2020/3/12,47,3,0,-1.116778153,0,1
2020/3/13,0,3,0,-0.57369601,0,1
2020/3/13,1,3,0,-0.845237081,1,1
2020/3/13,2,3,0,-0.845237081,0,1
2020/3/13,3,3,0,-1.116778153,0,1
2020/3/13,4,3,0,-0.845237081,0,1
2020/3/13,5,3,0,-0.57369601,1,1
2020/3/13,6,3,0,-1.116778153,0,1
2020/3/13,7,3,0,-1.116778153,0,1
2020/3/13,8,3,0,-1.116778153,0,1
2020/3/13,9,3,0,-1.116778153,0,1
2020/3/13,10,3,0,-1.116778153,0,1
2020/3/13,11,3,0,-1.116778153,0,1
2020/3/13,12,3,0.181777605,-0.845237081,0,1
2020/3/13,13,3,0,-0.57369601,1,1
